Package,Module,Class,Smell,Function/Method,Line no,File,Details
wjmaddox_swa_gaussian,setup,,Long statement,,14,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/setup.py,A line with 694 chars in setup exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.ensembling,bn_updates_fraction,,Long statement,,17,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/ensembling/bn_updates_fraction.py,A line with 140 chars in bn_updates_fraction exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.ensembling,bn_updates_fraction,,Long statement,,24,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/ensembling/bn_updates_fraction.py,A line with 135 chars in bn_updates_fraction exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.ensembling,bn_updates_fraction,,Long statement,,100,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/ensembling/bn_updates_fraction.py,A line with 191 chars in bn_updates_fraction exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.ensembling,bn_updates_fraction,,Long statement,,111,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/ensembling/bn_updates_fraction.py,A line with 157 chars in bn_updates_fraction exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.ensembling,bn_updates_fraction,,Long statement,,177,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/ensembling/bn_updates_fraction.py,A line with 149 chars in bn_updates_fraction exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.ensembling,ensembling,,Long statement,,18,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/ensembling/ensembling.py,A line with 140 chars in ensembling exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.ensembling,ensembling,,Long statement,,25,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/ensembling/ensembling.py,A line with 135 chars in ensembling exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.ensembling,ensembling,,Long statement,,53,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/ensembling/ensembling.py,A line with 148 chars in ensembling exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.ensembling,ensembling,,Long statement,,80,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/ensembling/ensembling.py,A line with 137 chars in ensembling exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.ensembling,ensembling,,Long statement,,104,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/ensembling/ensembling.py,A line with 246 chars in ensembling exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.ensembling,ensembling,,Long statement,,119,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/ensembling/ensembling.py,A line with 171 chars in ensembling exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.ensembling,swa_ecdf_ensembles,,Long statement,,15,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/ensembling/swa_ecdf_ensembles.py,A line with 122 chars in swa_ecdf_ensembles exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.ensembling,swa_ecdf_ensembles,,Long statement,,27,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/ensembling/swa_ecdf_ensembles.py,A line with 140 chars in swa_ecdf_ensembles exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.ensembling,swa_ecdf_ensembles,,Long statement,,34,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/ensembling/swa_ecdf_ensembles.py,A line with 135 chars in swa_ecdf_ensembles exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.ensembling,swa_ecdf_ensembles,,Long statement,,62,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/ensembling/swa_ecdf_ensembles.py,A line with 122 chars in swa_ecdf_ensembles exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.ensembling,swa_ecdf_ensembles,,Long statement,,119,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/ensembling/swa_ecdf_ensembles.py,A line with 211 chars in swa_ecdf_ensembles exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.ensembling,swa_ecdf_ensembles,,Magic number,find_models,93,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/ensembling/swa_ecdf_ensembles.py,Magic number 161 used in find_models.
wjmaddox_swa_gaussian.experiments.ensembling,swa_ecdf_ensembles,,Magic number,find_models,93,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/ensembling/swa_ecdf_ensembles.py,Magic number 325 used in find_models.
wjmaddox_swa_gaussian.experiments.grad_cov,grad_cov_utils,,Complex method,train_epoch,60 - 136,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/grad_cov/grad_cov_utils.py,"Method 'train_epoch' has a cyclomatic complexity of 10, exceeding the max of 6."
wjmaddox_swa_gaussian.experiments.grad_cov,grad_cov_utils,,Long method,train_epoch,60 - 136,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/grad_cov/grad_cov_utils.py,Method 'train_epoch' is too long (61 lines).
wjmaddox_swa_gaussian.experiments.grad_cov,grad_cov_utils,,Long parameter list,train_epoch,60 - 136,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/grad_cov/grad_cov_utils.py,"train_epoch has 9 parameters, exceeding the max of 5."
wjmaddox_swa_gaussian.experiments.grad_cov,grad_cov_utils,,Long statement,train_epoch,122,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/grad_cov/grad_cov_utils.py,A line with 146 chars in train_epoch exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.grad_cov,grad_cov_utils,,Long statement,train_epoch,134,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/grad_cov/grad_cov_utils.py,A line with 130 chars in train_epoch exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.grad_cov,grad_cov_utils,,Magic number,collect_grads,26,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/grad_cov/grad_cov_utils.py,Magic number 2.0 used in collect_grads.
wjmaddox_swa_gaussian.experiments.grad_cov,grad_cov_utils,,Magic number,compute_opt_lr,35,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/grad_cov/grad_cov_utils.py,Magic number 2 used in compute_opt_lr.
wjmaddox_swa_gaussian.experiments.grad_cov,grad_cov_utils,,Magic number,compute_opt_lr,41,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/grad_cov/grad_cov_utils.py,Magic number 2 used in compute_opt_lr.
wjmaddox_swa_gaussian.experiments.grad_cov,grad_cov_utils,,Magic number,compute_opt_lr,57,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/grad_cov/grad_cov_utils.py,Magic number 2 used in compute_opt_lr.
wjmaddox_swa_gaussian.experiments.grad_cov,grad_cov_utils,,Magic number,train_epoch,136,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/grad_cov/grad_cov_utils.py,Magic number 100.0 used in train_epoch.
wjmaddox_swa_gaussian.experiments.grad_cov,grad_cov_utils,,Magic number,train_epoch,121,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/grad_cov/grad_cov_utils.py,Magic number 10 used in train_epoch.
wjmaddox_swa_gaussian.experiments.grad_cov,run_grad_cov,,Long statement,,27,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/grad_cov/run_grad_cov.py,A line with 139 chars in run_grad_cov exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.grad_cov,run_grad_cov,,Long statement,,35,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/grad_cov/run_grad_cov.py,A line with 135 chars in run_grad_cov exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.grad_cov,run_grad_cov,,Long statement,,56,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/grad_cov/run_grad_cov.py,A line with 121 chars in run_grad_cov exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.grad_cov,run_grad_cov,,Long statement,,65,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/grad_cov/run_grad_cov.py,A line with 130 chars in run_grad_cov exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.grad_cov,run_grad_cov,,Long statement,,123,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/grad_cov/run_grad_cov.py,A line with 146 chars in run_grad_cov exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.grad_cov,run_grad_cov,,Long statement,,132,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/grad_cov/run_grad_cov.py,A line with 129 chars in run_grad_cov exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.grad_cov,run_grad_cov,,Long statement,,180,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/grad_cov/run_grad_cov.py,A line with 225 chars in run_grad_cov exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.grad_cov,run_grad_cov,,Long statement,,203,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/grad_cov/run_grad_cov.py,A line with 142 chars in run_grad_cov exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.grad_cov,run_grad_cov,,Long statement,,249,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/grad_cov/run_grad_cov.py,A line with 156 chars in run_grad_cov exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.grad_cov,run_grad_cov,,Long statement,,346,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/grad_cov/run_grad_cov.py,A line with 131 chars in run_grad_cov exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.grad_cov,run_grad_cov,,Magic number,schedule,218,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/grad_cov/run_grad_cov.py,Magic number 0.01 used in schedule.
wjmaddox_swa_gaussian.experiments.grad_cov,run_grad_cov,,Magic number,schedule,219,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/grad_cov/run_grad_cov.py,Magic number 0.5 used in schedule.
wjmaddox_swa_gaussian.experiments.grad_cov,run_grad_cov,,Magic number,schedule,221,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/grad_cov/run_grad_cov.py,Magic number 0.9 used in schedule.
wjmaddox_swa_gaussian.experiments.grad_cov,run_grad_cov,,Magic number,schedule,222,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/grad_cov/run_grad_cov.py,Magic number 0.4 used in schedule.
wjmaddox_swa_gaussian.experiments.grad_cov,run_grad_cov,,Magic number,schedule,222,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/grad_cov/run_grad_cov.py,Magic number 0.5 used in schedule.
wjmaddox_swa_gaussian.experiments.hessian_eigs,hess_vec_prod,,Complex method,min_max_hessian_eigs,75 - 163,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/hessian_eigs/hess_vec_prod.py,"Method 'min_max_hessian_eigs' has a cyclomatic complexity of 11, exceeding the max of 6."
wjmaddox_swa_gaussian.experiments.hessian_eigs,hess_vec_prod,,Long method,min_max_hessian_eigs,75 - 163,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/hessian_eigs/hess_vec_prod.py,Method 'min_max_hessian_eigs' is too long (55 lines).
wjmaddox_swa_gaussian.experiments.hessian_eigs,hess_vec_prod,,Long parameter list,eval_hess_vec_prod,31 - 69,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/hessian_eigs/hess_vec_prod.py,"eval_hess_vec_prod has 6 parameters, exceeding the max of 5."
wjmaddox_swa_gaussian.experiments.hessian_eigs,hess_vec_prod,,Long parameter list,min_max_hessian_eigs,75 - 163,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/hessian_eigs/hess_vec_prod.py,"min_max_hessian_eigs has 6 parameters, exceeding the max of 5."
wjmaddox_swa_gaussian.experiments.hessian_eigs,hess_vec_prod,,Long statement,eval_hess_vec_prod,32,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/hessian_eigs/hess_vec_prod.py,A line with 471 chars in eval_hess_vec_prod exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.hessian_eigs,hess_vec_prod,,Long statement,min_max_hessian_eigs,78,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/hessian_eigs/hess_vec_prod.py,A line with 562 chars in min_max_hessian_eigs exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.hessian_eigs,hess_vec_prod,,Long statement,min_max_hessian_eigs,113,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/hessian_eigs/hess_vec_prod.py,A line with 121 chars in min_max_hessian_eigs exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.hessian_eigs,hess_vec_prod,,Long statement,min_max_hessian_eigs,144,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/hessian_eigs/hess_vec_prod.py,A line with 129 chars in min_max_hessian_eigs exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.hessian_eigs,hess_vec_prod,,Long statement,,1,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/hessian_eigs/hess_vec_prod.py,A line with 244 chars in hess_vec_prod exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.hessian_eigs,hess_vec_prod,,Magic number,min_max_hessian_eigs,133,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/hessian_eigs/hess_vec_prod.py,Magic number 0.51 used in min_max_hessian_eigs.
wjmaddox_swa_gaussian.experiments.hessian_eigs,run_hess_eigs,,Long statement,,20,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/hessian_eigs/run_hess_eigs.py,A line with 140 chars in run_hess_eigs exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.hessian_eigs,run_hess_eigs,,Long statement,,27,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/hessian_eigs/run_hess_eigs.py,A line with 135 chars in run_hess_eigs exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.hessian_eigs,run_hess_eigs,,Long statement,,77,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/hessian_eigs/run_hess_eigs.py,A line with 232 chars in run_hess_eigs exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.hessian_eigs,run_hess_eigs,,Long statement,,103,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/hessian_eigs/run_hess_eigs.py,A line with 126 chars in run_hess_eigs exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.imagenet,data,,Long method,loaders,15 - 67,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/imagenet/data.py,Method 'loaders' is too long (46 lines).
wjmaddox_swa_gaussian.experiments.imagenet,data,,Long statement,loaders,25,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/imagenet/data.py,A line with 140 chars in loaders exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.imagenet,data,,Long statement,loaders,34,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/imagenet/data.py,A line with 123 chars in loaders exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.imagenet,data,,Long statement,loaders,50,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/imagenet/data.py,A line with 286 chars in loaders exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.imagenet,data,,Magic number,loaders,48,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/imagenet/data.py,Magic number 1000 used in loaders.
wjmaddox_swa_gaussian.experiments.imagenet,eval_net_imagenet,,Long statement,,19,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/imagenet/eval_net_imagenet.py,A line with 139 chars in eval_net_imagenet exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.imagenet,eval_net_imagenet,,Long statement,,41,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/imagenet/eval_net_imagenet.py,A line with 121 chars in eval_net_imagenet exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.imagenet,eval_net_imagenet,,Long statement,,53,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/imagenet/eval_net_imagenet.py,A line with 127 chars in eval_net_imagenet exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.imagenet,eval_net_imagenet,,Long statement,,61,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/imagenet/eval_net_imagenet.py,A line with 121 chars in eval_net_imagenet exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.imagenet,eval_swag_imagenet,,Long statement,,20,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/imagenet/eval_swag_imagenet.py,A line with 139 chars in eval_swag_imagenet exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.imagenet,eval_swag_imagenet,,Long statement,,42,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/imagenet/eval_swag_imagenet.py,A line with 121 chars in eval_swag_imagenet exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.imagenet,eval_swag_imagenet,,Long statement,,51,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/imagenet/eval_swag_imagenet.py,A line with 127 chars in eval_swag_imagenet exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.imagenet,eval_swag_imagenet,,Long statement,,148,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/imagenet/eval_swag_imagenet.py,A line with 135 chars in eval_swag_imagenet exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.imagenet,eval_swag_imagenet,,Long statement,,199,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/imagenet/eval_swag_imagenet.py,A line with 140 chars in eval_swag_imagenet exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.imagenet,run_swag_imagenet,,Long statement,,25,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/imagenet/run_swag_imagenet.py,A line with 139 chars in run_swag_imagenet exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.imagenet,run_swag_imagenet,,Long statement,,47,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/imagenet/run_swag_imagenet.py,A line with 121 chars in run_swag_imagenet exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.imagenet,run_swag_imagenet,,Long statement,,64,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/imagenet/run_swag_imagenet.py,A line with 130 chars in run_swag_imagenet exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.imagenet,run_swag_imagenet,,Long statement,,121,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/imagenet/run_swag_imagenet.py,A line with 142 chars in run_swag_imagenet exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.imagenet,run_swag_imagenet,,Long statement,,130,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/imagenet/run_swag_imagenet.py,A line with 129 chars in run_swag_imagenet exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.imagenet,run_swag_imagenet,,Long statement,,328,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/imagenet/run_swag_imagenet.py,A line with 131 chars in run_swag_imagenet exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.imagenet,run_swag_imagenet,,Magic number,schedule,206,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/imagenet/run_swag_imagenet.py,Magic number 0.1 used in schedule.
wjmaddox_swa_gaussian.experiments.imagenet,run_swag_imagenet,,Magic number,schedule,206,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/imagenet/run_swag_imagenet.py,Magic number 30 used in schedule.
wjmaddox_swa_gaussian.experiments.imagenet,test_swag_gpu,,Long statement,,18,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/imagenet/test_swag_gpu.py,A line with 121 chars in test_swag_gpu exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.segmentation,eval_ensemble,,Long statement,,32,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/segmentation/eval_ensemble.py,A line with 173 chars in eval_ensemble exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.segmentation,eval_ensemble,,Long statement,,39,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/segmentation/eval_ensemble.py,A line with 135 chars in eval_ensemble exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.segmentation,eval_ensemble,,Long statement,,59,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/segmentation/eval_ensemble.py,A line with 133 chars in eval_ensemble exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.segmentation,eval_ensemble,,Long statement,,100,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/segmentation/eval_ensemble.py,A line with 336 chars in eval_ensemble exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.segmentation,eval_ensemble,,Long statement,,120,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/segmentation/eval_ensemble.py,A line with 132 chars in eval_ensemble exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.segmentation,evaluate,,Long statement,,27,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/segmentation/evaluate.py,A line with 173 chars in evaluate exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.segmentation,evaluate,,Long statement,,43,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/segmentation/evaluate.py,A line with 130 chars in evaluate exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.segmentation,evaluate,,Long statement,,50,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/segmentation/evaluate.py,A line with 129 chars in evaluate exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.segmentation,evaluate,,Long statement,,83,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/segmentation/evaluate.py,A line with 321 chars in evaluate exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.segmentation,evaluate,,Long statement,,105,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/segmentation/evaluate.py,A line with 132 chars in evaluate exceeds the maximum length of 120 characters.
wjmaddox_swa_gaussian.experiments.segmentation,evaluate,,Long statement,,132,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/segmentation/evaluate.py,A line with 148 chars in evaluate exceeds the maximum length of 120 characters.
