Package,Module,Class,Function,LOC,CC,PC
zyfra_ebonite,setup,,read,6,1,0
zyfra_ebonite,setup,,get_requirements,2,2,1
zyfra_ebonite.examples.binary_payload,client,,main,12,2,0
zyfra_ebonite.examples.binary_payload,serve,,add_alpha,8,1,1
zyfra_ebonite.examples.binary_payload,serve,,shape_model,2,1,1
zyfra_ebonite.examples.binary_payload,serve,,overlay_model,18,3,1
zyfra_ebonite.examples.binary_payload,serve,,main,4,1,0
zyfra_ebonite.examples.custom_code,_custom_code,MyLinReg,__init__,3,1,2
zyfra_ebonite.examples.custom_code,_custom_code,MyLinReg,apply_model,2,1,1
zyfra_ebonite.examples.custom_code,_custom_code,,run_my_model,2,1,1
zyfra_ebonite.examples.custom_code,client,,main,10,2,0
zyfra_ebonite.examples.custom_code,model_create,,main,5,1,0
zyfra_ebonite.examples.custom_code,model_run,,main,6,1,0
zyfra_ebonite.examples.deployment,local,,model_function,2,1,1
zyfra_ebonite.examples.deployment,local,,main,14,3,0
zyfra_ebonite.examples.deployment,runner,,run_detached_and_remove,8,1,0
zyfra_ebonite.examples.deployment,runner,,run_detached,8,1,0
zyfra_ebonite.examples.deployment,runner,,run_attached_and_remove,8,1,0
zyfra_ebonite.examples.deployment,runner,,run_attached,8,1,0
zyfra_ebonite.examples.deployment,runner,,run_good,10,2,0
zyfra_ebonite.examples.deployment,runner,,run_good_attached,8,1,0
zyfra_ebonite.examples.evaluation,train_and_eval,,get_data,4,1,0
zyfra_ebonite.examples.evaluation,train_and_eval,,constant,2,1,1
zyfra_ebonite.examples.evaluation,train_and_eval,,truth,2,1,1
zyfra_ebonite.examples.evaluation,train_and_eval,,my_custom_metric,2,1,2
zyfra_ebonite.examples.evaluation,train_and_eval,,main,19,1,0
zyfra_ebonite.examples.extensions,extension_model,,main,6,1,0
zyfra_ebonite.examples.extensions.myext,extension_source,MyModelWrapper,__init__,2,1,0
zyfra_ebonite.examples.extensions.myext,extension_source,MyModelWrapper,_exposed_methods_mapping,4,1,0
zyfra_ebonite.examples.extensions.myext,extension_source,MyModelWrapper,_predict,2,1,1
zyfra_ebonite.examples.extensions.myext,extension_source,MyModelIO,dump,2,1,1
zyfra_ebonite.examples.extensions.myext,extension_source,MyModelIO,load,2,1,1
zyfra_ebonite.examples.extensions.myext,extension_source,MyModelHook,can_process,2,1,1
zyfra_ebonite.examples.extensions.myext,extension_source,MyModelHook,must_process,2,1,1
zyfra_ebonite.examples.extensions.myext,extension_source,MyModelHook,_wrapper_factory,2,1,0
zyfra_ebonite.examples.pipeline_example,run_instance,,step1,2,1,1
zyfra_ebonite.examples.pipeline_example,run_instance,,step2,2,1,1
zyfra_ebonite.examples.pipeline_example,run_instance,,main,14,1,0
zyfra_ebonite.examples.remote_example,client,,main,12,2,0
zyfra_ebonite.examples.remote_example,model_create,,add_one,2,1,1
zyfra_ebonite.examples.remote_example,model_create,,main,13,2,0
zyfra_ebonite.examples.remote_example,model_run,,main,6,1,0
zyfra_ebonite.examples.sklearn_model,client,,main,22,2,0
zyfra_ebonite.examples.sklearn_model,model_create_image,,main,9,1,0
zyfra_ebonite.examples.sklearn_model,model_train,,train_model,5,1,0
zyfra_ebonite.examples.sklearn_model,model_train,,main,5,1,0
zyfra_ebonite.examples.sklearn_model,smart_client,,main,12,2,0
zyfra_ebonite.examples.sklearn_model,start_service,,main,5,1,0
zyfra_ebonite.examples.tensorflow_model,client,,main,10,2,0
zyfra_ebonite.examples.tensorflow_model,train_and_serve,,train_regression,28,3,0
zyfra_ebonite.examples.tensorflow_model,train_and_serve,,main,5,1,0
zyfra_ebonite.examples.tensorflow_v2_example,client,,main,10,2,0
zyfra_ebonite.examples.tensorflow_v2_example,train_and_serve,,train_regression,21,1,0
zyfra_ebonite.examples.tensorflow_v2_example,train_and_serve,,main,4,1,0
zyfra_ebonite.src.ebonite,config,ConfigEnv,get,2,1,2
zyfra_ebonite.src.ebonite,config,ConfigEnv,__init_subclass__,7,3,1
zyfra_ebonite.src.ebonite,config,_ConfigArgParseEnv,__init__,2,1,0
zyfra_ebonite.src.ebonite,config,_ConfigArgParseEnv,get,10,2,2
zyfra_ebonite.src.ebonite,config,_NamespacedOSEnv,get,2,2,2
zyfra_ebonite.src.ebonite,config,Param,__init__,9,1,8
zyfra_ebonite.src.ebonite,config,Param,__get__,7,2,2
zyfra_ebonite.src.ebonite,config,_ConfigMeta,__new__,4,1,4
zyfra_ebonite.src.ebonite,config,Config,_try__get__,5,1,3
zyfra_ebonite.src.ebonite,config,Config,get_params,5,1,1
zyfra_ebonite.src.ebonite,config,Config,log_params,5,2,1
zyfra_ebonite.src.ebonite.client,autogen,,find_exposed_methods,10,6,2
zyfra_ebonite.src.ebonite.client,autogen,,patch,16,5,3
zyfra_ebonite.src.ebonite.client,autogen,,clear,19,7,2
zyfra_ebonite.src.ebonite.client,autogen,,main,3,1,0
zyfra_ebonite.src.ebonite.client,base,Ebonite,__init__,4,2,3
zyfra_ebonite.src.ebonite.client,base,Ebonite,_bind,13,4,1
zyfra_ebonite.src.ebonite.client,base,Ebonite,push_model,5,1,2
zyfra_ebonite.src.ebonite.client,base,Ebonite,create_model,5,1,3
zyfra_ebonite.src.ebonite.client,base,Ebonite,get_model,7,3,4
zyfra_ebonite.src.ebonite.client,base,Ebonite,create_image,27,10,8
zyfra_ebonite.src.ebonite.client,base,Ebonite,create_instance,18,6,5
zyfra_ebonite.src.ebonite.client,base,Ebonite,build_and_run_instance,8,4,7
zyfra_ebonite.src.ebonite.client,base,Ebonite,local,9,4,3
zyfra_ebonite.src.ebonite.client,base,Ebonite,inmemory,4,1,1
zyfra_ebonite.src.ebonite.client,base,Ebonite,custom_client,12,5,5
zyfra_ebonite.src.ebonite.client,base,Ebonite,from_config_file,4,1,2
zyfra_ebonite.src.ebonite.client,base,Ebonite,save_client_config,4,1,1
zyfra_ebonite.src.ebonite.client,base,Ebonite,get_default_server,7,2,0
zyfra_ebonite.src.ebonite.client,base,Ebonite,get_default_environment,16,3,0
zyfra_ebonite.src.ebonite.client,base,Ebonite,push_environment,4,1,1
zyfra_ebonite.src.ebonite.client,base,Ebonite,get_environment,4,1,1
zyfra_ebonite.src.ebonite.client,base,Ebonite,get_environments,4,1,0
zyfra_ebonite.src.ebonite.client,base,Ebonite,get_image,4,1,3
zyfra_ebonite.src.ebonite.client,base,Ebonite,get_images,4,1,2
zyfra_ebonite.src.ebonite.client,base,Ebonite,get_instance,4,1,3
zyfra_ebonite.src.ebonite.client,base,Ebonite,get_instances,4,1,2
zyfra_ebonite.src.ebonite.client,base,Ebonite,get_models,4,1,2
zyfra_ebonite.src.ebonite.client,base,Ebonite,get_or_create_project,4,1,1
zyfra_ebonite.src.ebonite.client,base,Ebonite,get_or_create_task,4,1,2
zyfra_ebonite.src.ebonite.client,base,Ebonite,get_pipeline,4,1,3
zyfra_ebonite.src.ebonite.client,base,Ebonite,get_pipelines,4,1,2
zyfra_ebonite.src.ebonite.client,base,Ebonite,get_project,4,1,1
zyfra_ebonite.src.ebonite.client,base,Ebonite,get_projects,4,1,0
zyfra_ebonite.src.ebonite.client,base,Ebonite,get_task,4,1,2
zyfra_ebonite.src.ebonite.client,base,Ebonite,get_tasks,4,1,1
zyfra_ebonite.src.ebonite.client,base,Ebonite,delete_project,3,1,2
zyfra_ebonite.src.ebonite.client,base,Ebonite,delete_task,3,1,2
zyfra_ebonite.src.ebonite.client,base,Ebonite,delete_model,3,1,2
zyfra_ebonite.src.ebonite.client,base,Ebonite,delete_pipeline,3,1,1
zyfra_ebonite.src.ebonite.client,base,Ebonite,delete_image,3,1,3
zyfra_ebonite.src.ebonite.client,base,Ebonite,delete_instance,3,1,2
zyfra_ebonite.src.ebonite.client,base,Ebonite,delete_environment,3,1,3
zyfra_ebonite.src.ebonite.client,base,Ebonite,create_dataset,2,1,2
zyfra_ebonite.src.ebonite.client,base,Ebonite,create_metric,3,1,1
zyfra_ebonite.src.ebonite.client,expose,ExposedMethod,__init__,3,1,1
zyfra_ebonite.src.ebonite.client,expose,ExposedMethod,__call__,6,2,1
zyfra_ebonite.src.ebonite.client,expose,ExposedMethod,__repr__,2,1,0
zyfra_ebonite.src.ebonite.client,expose,ExposedMethod,original_name,2,1,0
zyfra_ebonite.src.ebonite.client,expose,ExposedMethod,generate_code,2,1,0
zyfra_ebonite.src.ebonite.client,expose,ExposedMethod,get_declaration,10,6,0
zyfra_ebonite.src.ebonite.client,expose,ExposedMethod,get_signature,2,1,0
zyfra_ebonite.src.ebonite.client,expose,,get_exposed_method,2,1,1
zyfra_ebonite.src.ebonite.client,helpers,,create_model,4,1,5
zyfra_ebonite.src.ebonite.core,errors,ExistingProjectError,__init__,3,1,1
zyfra_ebonite.src.ebonite.core,errors,NonExistingProjectError,__init__,6,2,1
zyfra_ebonite.src.ebonite.core,errors,ExistingTaskError,__init__,3,1,1
zyfra_ebonite.src.ebonite.core,errors,NonExistingTaskError,__init__,6,2,1
zyfra_ebonite.src.ebonite.core,errors,TaskWithoutIdError,__init__,3,1,1
zyfra_ebonite.src.ebonite.core,errors,ExistingModelError,__init__,3,1,1
zyfra_ebonite.src.ebonite.core,errors,NonExistingModelError,__init__,6,2,1
zyfra_ebonite.src.ebonite.core,errors,ExistingPipelineError,__init__,3,1,1
zyfra_ebonite.src.ebonite.core,errors,NonExistingPipelineError,__init__,6,2,1
zyfra_ebonite.src.ebonite.core,errors,ExistingImageError,__init__,3,1,1
zyfra_ebonite.src.ebonite.core,errors,NonExistingImageError,__init__,6,2,1
zyfra_ebonite.src.ebonite.core,errors,ExistingEnvironmentError,__init__,3,1,1
zyfra_ebonite.src.ebonite.core,errors,NonExistingEnvironmentError,__init__,8,2,1
zyfra_ebonite.src.ebonite.core,errors,ExistingInstanceError,__init__,3,1,1
zyfra_ebonite.src.ebonite.core,errors,NonExistingInstanceError,__init__,6,2,1
zyfra_ebonite.src.ebonite.core,errors,TaskNotInProjectError,__init__,2,1,1
zyfra_ebonite.src.ebonite.core,errors,ModelNotInTaskError,__init__,2,1,1
zyfra_ebonite.src.ebonite.core,errors,PipelineNotInTaskError,__init__,2,1,1
zyfra_ebonite.src.ebonite.core,errors,ImageNotInTaskError,__init__,2,1,1
zyfra_ebonite.src.ebonite.core,errors,InstanceNotInImageError,__init__,2,1,1
zyfra_ebonite.src.ebonite.core,errors,InstanceNotInEnvironmentError,__init__,2,1,1
zyfra_ebonite.src.ebonite.core,errors,ModelWithoutIdError,__init__,3,1,1
zyfra_ebonite.src.ebonite.core,errors,ProjectWithTasksError,__init__,3,1,1
zyfra_ebonite.src.ebonite.core,errors,TaskWithFKError,__init__,3,1,1
zyfra_ebonite.src.ebonite.core,errors,ImageWithInstancesError,__init__,3,1,1
zyfra_ebonite.src.ebonite.core,errors,EnvironmentWithInstancesError,__init__,4,1,1
zyfra_ebonite.src.ebonite.core,errors,UnknownMetadataError,__init__,2,1,0
zyfra_ebonite.src.ebonite.core,errors,NoSuchDataset,__init__,2,1,3
zyfra_ebonite.src.ebonite.core,errors,DatasetExistsError,__init__,2,1,3
zyfra_ebonite.src.ebonite.core,errors,NoSuchArtifactError,__init__,2,1,2
zyfra_ebonite.src.ebonite.core,errors,ArtifactExistsError,__init__,2,1,2
zyfra_ebonite.src.ebonite.core.analyzer,base,Hook,can_process,4,1,1
zyfra_ebonite.src.ebonite.core.analyzer,base,Hook,must_process,4,1,1
zyfra_ebonite.src.ebonite.core.analyzer,base,Hook,process,4,1,1
zyfra_ebonite.src.ebonite.core.analyzer,base,Hook,__init_subclass__,17,6,1
zyfra_ebonite.src.ebonite.core.analyzer,base,CanIsAMustHookMixin,can_process,2,1,1
zyfra_ebonite.src.ebonite.core.analyzer,base,TypeHookMixin,must_process,2,1,1
zyfra_ebonite.src.ebonite.core.analyzer,base,BaseModuleHookMixin,is_valid_base_module_name,4,1,1
zyfra_ebonite.src.ebonite.core.analyzer,base,BaseModuleHookMixin,is_valid_base_module,6,1,1
zyfra_ebonite.src.ebonite.core.analyzer,base,BaseModuleHookMixin,must_process,2,1,1
zyfra_ebonite.src.ebonite.core.analyzer,base,LibHookMixin,is_valid_base_module_name,2,1,1
zyfra_ebonite.src.ebonite.core.analyzer,base,,analyzer_class,43,4,2
zyfra_ebonite.src.ebonite.core.analyzer,dataset,DatasetHook,process,4,1,1
zyfra_ebonite.src.ebonite.core.analyzer,dataset,PrimitivesHook,can_process,3,2,1
zyfra_ebonite.src.ebonite.core.analyzer,dataset,PrimitivesHook,must_process,2,1,1
zyfra_ebonite.src.ebonite.core.analyzer,dataset,PrimitivesHook,process,2,1,1
zyfra_ebonite.src.ebonite.core.analyzer,dataset,OrderedCollectionHookDelegator,can_process,2,1,1
zyfra_ebonite.src.ebonite.core.analyzer,dataset,OrderedCollectionHookDelegator,must_process,2,1,1
zyfra_ebonite.src.ebonite.core.analyzer,dataset,OrderedCollectionHookDelegator,process,9,2,1
zyfra_ebonite.src.ebonite.core.analyzer,dataset,DictHookDelegator,can_process,2,1,1
zyfra_ebonite.src.ebonite.core.analyzer,dataset,DictHookDelegator,must_process,2,1,1
zyfra_ebonite.src.ebonite.core.analyzer,dataset,DictHookDelegator,process,6,2,1
zyfra_ebonite.src.ebonite.core.analyzer,dataset,BytesDatasetHook,process,2,1,1
zyfra_ebonite.src.ebonite.core.analyzer,dataset,BytesDatasetHook,can_process,2,1,1
zyfra_ebonite.src.ebonite.core.analyzer,dataset,BytesDatasetHook,must_process,2,1,1
zyfra_ebonite.src.ebonite.core.analyzer,metric,MetricHook,process,4,1,1
zyfra_ebonite.src.ebonite.core.analyzer,metric,LibFunctionMixin,get_args,2,1,1
zyfra_ebonite.src.ebonite.core.analyzer,metric,LibFunctionMixin,process,2,1,1
zyfra_ebonite.src.ebonite.core.analyzer,metric,CallableMetricHook,process,2,1,1
zyfra_ebonite.src.ebonite.core.analyzer,metric,CallableMetricHook,can_process,2,1,1
zyfra_ebonite.src.ebonite.core.analyzer,metric,CallableMetricHook,must_process,2,1,1
zyfra_ebonite.src.ebonite.core.analyzer,model,ModelHook,process,2,1,1
zyfra_ebonite.src.ebonite.core.analyzer,model,BindingModelHook,process,2,1,1
zyfra_ebonite.src.ebonite.core.analyzer,model,BindingModelHook,_wrapper_factory,2,1,0
zyfra_ebonite.src.ebonite.core.analyzer,model,CallableMethodModelHook,_wrapper_factory,2,1,0
zyfra_ebonite.src.ebonite.core.analyzer,model,CallableMethodModelHook,can_process,2,1,1
zyfra_ebonite.src.ebonite.core.analyzer,model,CallableMethodModelHook,must_process,2,1,1
zyfra_ebonite.src.ebonite.core.analyzer,requirement,RequirementAnalyzer,analyze,16,4,2
zyfra_ebonite.src.ebonite.core.analyzer,requirement,RequirementHook,must_process,2,1,1
zyfra_ebonite.src.ebonite.core.analyzer,requirement,RequirementHook,can_process,2,1,1
zyfra_ebonite.src.ebonite.core.analyzer,requirement,RequirementHook,process,2,1,1
zyfra_ebonite.src.ebonite.core.objects,artifacts,Blob,materialize,4,1,1
zyfra_ebonite.src.ebonite.core.objects,artifacts,Blob,bytestream,4,1,0
zyfra_ebonite.src.ebonite.core.objects,artifacts,Blob,bytes,5,1,0
zyfra_ebonite.src.ebonite.core.objects,artifacts,LocalFileBlob,__init__,2,1,1
zyfra_ebonite.src.ebonite.core.objects,artifacts,LocalFileBlob,materialize,5,1,1
zyfra_ebonite.src.ebonite.core.objects,artifacts,LocalFileBlob,bytestream,5,1,0
zyfra_ebonite.src.ebonite.core.objects,artifacts,MaterializeOnlyBlobMixin,_get_file_name,2,1,0
zyfra_ebonite.src.ebonite.core.objects,artifacts,MaterializeOnlyBlobMixin,bytestream,8,1,0
zyfra_ebonite.src.ebonite.core.objects,artifacts,InMemoryBlob,__init__,2,1,1
zyfra_ebonite.src.ebonite.core.objects,artifacts,InMemoryBlob,materialize,6,1,1
zyfra_ebonite.src.ebonite.core.objects,artifacts,InMemoryBlob,bytestream,4,1,0
zyfra_ebonite.src.ebonite.core.objects,artifacts,LazyBlob,__init__,3,1,2
zyfra_ebonite.src.ebonite.core.objects,artifacts,LazyBlob,materialize,12,3,1
zyfra_ebonite.src.ebonite.core.objects,artifacts,LazyBlob,bytestream,6,1,0
zyfra_ebonite.src.ebonite.core.objects,artifacts,ArtifactCollection,materialize,4,1,1
zyfra_ebonite.src.ebonite.core.objects,artifacts,ArtifactCollection,bytes_dict,4,1,0
zyfra_ebonite.src.ebonite.core.objects,artifacts,ArtifactCollection,blob_dict,4,1,0
zyfra_ebonite.src.ebonite.core.objects,artifacts,ArtifactCollection,__add__,6,2,1
zyfra_ebonite.src.ebonite.core.objects,artifacts,ArtifactCollection,from_blobs,2,1,1
zyfra_ebonite.src.ebonite.core.objects,artifacts,Blobs,__init__,2,1,1
zyfra_ebonite.src.ebonite.core.objects,artifacts,Blobs,materialize,6,2,1
zyfra_ebonite.src.ebonite.core.objects,artifacts,Blobs,bytes_dict,2,1,0
zyfra_ebonite.src.ebonite.core.objects,artifacts,Blobs,blob_dict,4,1,0
zyfra_ebonite.src.ebonite.core.objects,artifacts,_ExitAllCm,__init__,2,1,1
zyfra_ebonite.src.ebonite.core.objects,artifacts,_ExitAllCm,__enter__,2,1,0
zyfra_ebonite.src.ebonite.core.objects,artifacts,_ExitAllCm,__exit__,6,3,3
zyfra_ebonite.src.ebonite.core.objects,artifacts,CompositeArtifactCollection,__init__,2,1,1
zyfra_ebonite.src.ebonite.core.objects,artifacts,CompositeArtifactCollection,materialize,5,2,1
zyfra_ebonite.src.ebonite.core.objects,artifacts,CompositeArtifactCollection,bytes_dict,2,1,0
zyfra_ebonite.src.ebonite.core.objects,artifacts,CompositeArtifactCollection,blob_dict,7,1,0
zyfra_ebonite.src.ebonite.core.objects,artifacts,CompositeArtifactCollection,__add__,9,3,1
zyfra_ebonite.src.ebonite.core.objects,artifacts,CompositeArtifactCollection,__iadd__,8,3,1
zyfra_ebonite.src.ebonite.core.objects,artifacts,_RelativePathWrapper,__init__,3,1,2
zyfra_ebonite.src.ebonite.core.objects,artifacts,_RelativePathWrapper,materialize,2,1,1
zyfra_ebonite.src.ebonite.core.objects,artifacts,_RelativePathWrapper,bytes_dict,2,1,0
zyfra_ebonite.src.ebonite.core.objects,artifacts,_RelativePathWrapper,blob_dict,3,1,0
zyfra_ebonite.src.ebonite.core.objects,artifacts,,_enter_all_cm,15,5,1
zyfra_ebonite.src.ebonite.core.objects,core,ExposedObjectMethod,__init__,5,1,4
zyfra_ebonite.src.ebonite.core.objects,core,ExposedObjectMethod,get_doc,15,5,0
zyfra_ebonite.src.ebonite.core.objects,core,ExposedObjectMethod,generate_code,8,1,0
zyfra_ebonite.src.ebonite.core.objects,core,WithMetadataRepository,bind_meta_repo,6,3,1
zyfra_ebonite.src.ebonite.core.objects,core,WithMetadataRepository,unbind_meta_repo,6,3,0
zyfra_ebonite.src.ebonite.core.objects,core,WithMetadataRepository,has_meta_repo,2,1,0
zyfra_ebonite.src.ebonite.core.objects,core,WithMetadataRepository,_check_meta,3,4,1
zyfra_ebonite.src.ebonite.core.objects,core,WithArtifactRepository,bind_artifact_repo,6,3,1
zyfra_ebonite.src.ebonite.core.objects,core,WithArtifactRepository,unbind_artifact_repo,5,3,0
zyfra_ebonite.src.ebonite.core.objects,core,WithArtifactRepository,has_artifact_repo,2,1,0
zyfra_ebonite.src.ebonite.core.objects,core,WithDatasetRepository,bind_dataset_repo,6,3,1
zyfra_ebonite.src.ebonite.core.objects,core,WithDatasetRepository,unbind_dataset_repo,5,3,0
zyfra_ebonite.src.ebonite.core.objects,core,WithDatasetRepository,has_dataset_repo,2,1,0
zyfra_ebonite.src.ebonite.core.objects,core,EboniteObject,__init__,5,3,4
zyfra_ebonite.src.ebonite.core.objects,core,EboniteObject,id,2,1,0
zyfra_ebonite.src.ebonite.core.objects,core,EboniteObject,bind_as,6,3,1
zyfra_ebonite.src.ebonite.core.objects,core,EboniteObject,save,1,1,0
zyfra_ebonite.src.ebonite.core.objects,core,EboniteObject,has_children,1,1,0
zyfra_ebonite.src.ebonite.core.objects,core,Project,__init__,4,1,4
zyfra_ebonite.src.ebonite.core.objects,core,Project,delete,7,3,1
zyfra_ebonite.src.ebonite.core.objects,core,Project,add_task,9,3,1
zyfra_ebonite.src.ebonite.core.objects,core,Project,add_tasks,5,2,1
zyfra_ebonite.src.ebonite.core.objects,core,Project,delete_task,8,2,2
zyfra_ebonite.src.ebonite.core.objects,core,Project,save,2,1,0
zyfra_ebonite.src.ebonite.core.objects,core,Project,has_children,2,1,0
zyfra_ebonite.src.ebonite.core.objects,core,Project,__repr__,2,1,0
zyfra_ebonite.src.ebonite.core.objects,core,EvaluationSet,__init__,4,1,3
zyfra_ebonite.src.ebonite.core.objects,core,EvaluationSet,get,7,2,2
zyfra_ebonite.src.ebonite.core.objects,core,Task,__init__,12,4,8
zyfra_ebonite.src.ebonite.core.objects,core,Task,project,5,2,0
zyfra_ebonite.src.ebonite.core.objects,core,Task,project,5,2,1
zyfra_ebonite.src.ebonite.core.objects,core,Task,delete,13,6,1
zyfra_ebonite.src.ebonite.core.objects,core,Task,add_model,9,3,1
zyfra_ebonite.src.ebonite.core.objects,core,Task,add_models,5,2,1
zyfra_ebonite.src.ebonite.core.objects,core,Task,delete_model,8,2,2
zyfra_ebonite.src.ebonite.core.objects,core,Task,create_and_push_model,5,1,3
zyfra_ebonite.src.ebonite.core.objects,core,Task,push_model,7,1,1
zyfra_ebonite.src.ebonite.core.objects,core,Task,add_pipeline,8,3,1
zyfra_ebonite.src.ebonite.core.objects,core,Task,add_pipelines,5,2,1
zyfra_ebonite.src.ebonite.core.objects,core,Task,delete_pipeline,9,2,1
zyfra_ebonite.src.ebonite.core.objects,core,Task,add_image,8,3,1
zyfra_ebonite.src.ebonite.core.objects,core,Task,add_images,5,2,1
zyfra_ebonite.src.ebonite.core.objects,core,Task,delete_image,8,2,3
zyfra_ebonite.src.ebonite.core.objects,core,Task,save,3,1,0
zyfra_ebonite.src.ebonite.core.objects,core,Task,has_children,2,2,0
zyfra_ebonite.src.ebonite.core.objects,core,Task,_resolve_dataset,8,2,2
zyfra_ebonite.src.ebonite.core.objects,core,Task,_resolve_metric,8,2,2
zyfra_ebonite.src.ebonite.core.objects,core,Task,add_evaluation,10,3,4
zyfra_ebonite.src.ebonite.core.objects,core,Task,delete_evaluation,9,4,2
zyfra_ebonite.src.ebonite.core.objects,core,Task,add_dataset,9,4,2
zyfra_ebonite.src.ebonite.core.objects,core,Task,push_datasets,4,3,0
zyfra_ebonite.src.ebonite.core.objects,core,Task,delete_dataset,21,8,3
zyfra_ebonite.src.ebonite.core.objects,core,Task,add_metric,7,3,2
zyfra_ebonite.src.ebonite.core.objects,core,Task,delete_metric,17,7,3
zyfra_ebonite.src.ebonite.core.objects,core,Task,evaluate_all,19,8,2
zyfra_ebonite.src.ebonite.core.objects,core,_InTask,__init__,3,1,5
zyfra_ebonite.src.ebonite.core.objects,core,_InTask,task,5,2,0
zyfra_ebonite.src.ebonite.core.objects,core,_InTask,task,5,2,1
zyfra_ebonite.src.ebonite.core.objects,core,EvaluationResult,__init__,3,2,2
zyfra_ebonite.src.ebonite.core.objects,core,EvaluationResultCollection,__init__,2,2,1
zyfra_ebonite.src.ebonite.core.objects,core,EvaluationResultCollection,add,3,2,1
zyfra_ebonite.src.ebonite.core.objects,core,EvaluationResultCollection,latest,4,1,0
zyfra_ebonite.src.ebonite.core.objects,core,_WrapperMethodAccessor,__init__,5,3,2
zyfra_ebonite.src.ebonite.core.objects,core,_WrapperMethodAccessor,__call__,2,1,1
zyfra_ebonite.src.ebonite.core.objects,core,Model,__init__,18,6,11
zyfra_ebonite.src.ebonite.core.objects,core,Model,load,8,2,0
zyfra_ebonite.src.ebonite.core.objects,core,Model,ensure_loaded,5,2,0
zyfra_ebonite.src.ebonite.core.objects,core,Model,wrapper,6,3,0
zyfra_ebonite.src.ebonite.core.objects,core,Model,wrapper,4,2,1
zyfra_ebonite.src.ebonite.core.objects,core,Model,with_wrapper,5,1,1
zyfra_ebonite.src.ebonite.core.objects,core,Model,wrapper_meta,8,3,0
zyfra_ebonite.src.ebonite.core.objects,core,Model,wrapper_meta,4,2,1
zyfra_ebonite.src.ebonite.core.objects,core,Model,with_wrapper_meta,5,1,1
zyfra_ebonite.src.ebonite.core.objects,core,Model,artifact,4,1,0
zyfra_ebonite.src.ebonite.core.objects,core,Model,artifact_any,5,1,0
zyfra_ebonite.src.ebonite.core.objects,core,Model,artifact_req_persisted,6,2,0
zyfra_ebonite.src.ebonite.core.objects,core,Model,attach_artifact,7,2,1
zyfra_ebonite.src.ebonite.core.objects,core,Model,persist_artifacts,14,4,1
zyfra_ebonite.src.ebonite.core.objects,core,Model,without_artifacts,7,1,0
zyfra_ebonite.src.ebonite.core.objects,core,Model,create,20,8,11
zyfra_ebonite.src.ebonite.core.objects,core,Model,delete,13,4,1
zyfra_ebonite.src.ebonite.core.objects,core,Model,push,18,6,1
zyfra_ebonite.src.ebonite.core.objects,core,Model,as_pipeline,7,1,1
zyfra_ebonite.src.ebonite.core.objects,core,Model,__getattr__,5,3,1
zyfra_ebonite.src.ebonite.core.objects,core,Model,save,4,2,0
zyfra_ebonite.src.ebonite.core.objects,core,Model,has_children,2,1,0
zyfra_ebonite.src.ebonite.core.objects,core,Model,evaluate_set,12,4,7
zyfra_ebonite.src.ebonite.core.objects,core,Model,evaluate,41,14,9
zyfra_ebonite.src.ebonite.core.objects,core,PipelineStep,__init__,3,1,2
zyfra_ebonite.src.ebonite.core.objects,core,Pipeline,__init__,7,2,9
zyfra_ebonite.src.ebonite.core.objects,core,Pipeline,delete,2,1,0
zyfra_ebonite.src.ebonite.core.objects,core,Pipeline,load,5,2,0
zyfra_ebonite.src.ebonite.core.objects,core,Pipeline,run,5,2,1
zyfra_ebonite.src.ebonite.core.objects,core,Pipeline,append,9,2,2
zyfra_ebonite.src.ebonite.core.objects,core,Pipeline,save,2,1,0
zyfra_ebonite.src.ebonite.core.objects,core,Pipeline,has_children,2,1,0
zyfra_ebonite.src.ebonite.core.objects,core,Pipeline,evaluate_set,11,4,6
zyfra_ebonite.src.ebonite.core.objects,core,Pipeline,evaluate,22,10,8
zyfra_ebonite.src.ebonite.core.objects,core,Buildable,get_provider,1,1,0
zyfra_ebonite.src.ebonite.core.objects,core,Buildable,task,1,1,0
zyfra_ebonite.src.ebonite.core.objects,core,RuntimeEnvironment,__init__,3,1,5
zyfra_ebonite.src.ebonite.core.objects,core,RuntimeEnvironment,delete,8,3,2
zyfra_ebonite.src.ebonite.core.objects,core,RuntimeEnvironment,save,2,1,0
zyfra_ebonite.src.ebonite.core.objects,core,RuntimeEnvironment,has_children,2,1,0
zyfra_ebonite.src.ebonite.core.objects,core,_WithEnvironment,__init__,4,1,5
zyfra_ebonite.src.ebonite.core.objects,core,_WithEnvironment,environment,12,3,0
zyfra_ebonite.src.ebonite.core.objects,core,_WithEnvironment,environment,6,2,1
zyfra_ebonite.src.ebonite.core.objects,core,_WithBuilder,bind_builder,3,1,1
zyfra_ebonite.src.ebonite.core.objects,core,_WithBuilder,unbind_builder,2,1,0
zyfra_ebonite.src.ebonite.core.objects,core,_WithBuilder,has_builder,2,1,0
zyfra_ebonite.src.ebonite.core.objects,core,Image,__init__,5,2,8
zyfra_ebonite.src.ebonite.core.objects,core,Image,task,5,2,0
zyfra_ebonite.src.ebonite.core.objects,core,Image,task,5,2,1
zyfra_ebonite.src.ebonite.core.objects,core,Image,delete,11,5,2
zyfra_ebonite.src.ebonite.core.objects,core,Image,bind_meta_repo,4,1,1
zyfra_ebonite.src.ebonite.core.objects,core,Image,is_built,2,1,0
zyfra_ebonite.src.ebonite.core.objects,core,Image,build,6,2,0
